episode,reward,original_reward,steps,crashed,avg_speed,collision_count,tailgating_count,unsafe_lane_change_count,overspeed_count
56,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
57,-47.97431816207808,22.02568183792192,30,False,20.032102297402385,0,7,0,0
58,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
59,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
60,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
61,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
62,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
63,-117.97431816207808,22.02568183792192,30,False,20.032102297402385,0,14,0,0
64,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
65,11.025681837921905,21.025681837921898,30,False,20.032102297402385,0,1,0,0
66,-229.97431816207816,20.02568183792191,30,False,20.032102297402385,0,25,0,0
67,-37.97431816207808,22.02568183792192,30,False,20.032102297402385,0,6,0,0
68,-39.97431816207812,20.02568183792191,30,False,20.032102297402385,0,6,0,0
69,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
70,-279.97431816207813,20.02568183792191,30,False,20.032102297402385,0,30,0,0
71,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
72,-277.9743181620779,22.02568183792192,30,False,20.032102297402385,0,30,0,0
73,-59.97431816207811,20.02568183792191,30,False,20.032102297402385,0,8,0,0
74,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
75,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
76,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
77,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
78,-221.97431816208618,8.025681837913817,13,True,19.657159147852965,1,13,0,0
79,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
80,-279.97431816207813,20.02568183792191,30,False,20.032102297402385,0,30,0,0
81,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
82,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
83,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
84,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
85,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
86,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
87,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
88,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
89,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
90,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
91,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
92,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
93,-278.97431816207825,21.025681837921898,30,False,20.032102297402385,0,30,0,0
94,-279.97431816207813,20.02568183792191,30,False,20.032102297402385,0,30,0,0
95,1.0256818379219048,21.025681837921898,30,False,20.032102297402385,0,2,0,0
96,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
97,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
98,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
99,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
