Model,collision_rate,success_rate,avg_reward,avg_original_reward,avg_speed,avg_survival_time,tailgating_rate,unsafe_lane_change_rate,overspeed_rate
Baseline PPO,0.05,0.95,-2.397984828744768,20.552015171255224,20.00998163557005,29.37,0.1529047619047619,0.0,0.0
Safe PPO (lambda=0.1),0.02,0.98,19.649015171236037,20.89901517123604,20.015206212644173,29.71,0.0849047619047619,0.0,0.0
