collision_rate,success_rate,avg_reward,avg_original_reward,avg_speed,avg_survival_time,tailgating_rate,unsafe_lane_change_rate,overspeed_rate,lambda
0.02,0.98,11.202681837921324,20.82768183792133,20.020063364470776,29.65,0.1290897435897436,0.0,0.0,0.5
0.03,0.97,5.621681837921407,20.621681837921404,20.014895896051407,29.65,0.1001666666666666,0.0,0.0,1.0
0.02,0.98,-20.237651495414607,20.66234850458539,20.02265463286351,29.64,0.1416666666666667,0.0,0.0,2.0
