model,lambda,seed,episode,reward,original_reward,collision,success,tailgating_count,tailgating_rate,unsafe_lane_change_count,unsafe_lane_change_rate,lane_changes,speed,survival_time,safety_violation_score
Baseline PPO,0.0,456,0,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,1,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,2,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,3,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,4,20.02568183792191,20.02568183792191,0,1,5,0.1666666666666666,0,0.0,0,20.032102297402385,30,0.1666666666666666
Baseline PPO,0.0,456,5,22.02568183792192,22.02568183792192,0,1,30,1.0,0,0.0,0,20.032102297402385,30,1.0
Baseline PPO,0.0,456,6,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,7,22.02568183792192,22.02568183792192,0,1,1,0.0333333333333333,0,0.0,0,20.032102297402385,30,0.0333333333333333
Baseline PPO,0.0,456,8,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,9,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,10,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,11,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,12,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,13,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,14,22.02568183792192,22.02568183792192,0,1,18,0.6,0,0.0,0,20.032102297402385,30,0.6
Baseline PPO,0.0,456,15,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,16,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,17,11.359015171255235,11.359015171255235,1,0,9,0.5,0,0.0,0,19.37285992789286,18,10.5
Baseline PPO,0.0,456,18,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,456,19,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,0,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,1,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,2,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,3,22.02568183792192,22.02568183792192,0,1,12,0.4,0,0.0,0,20.032102297402385,30,0.4
Baseline PPO,0.0,789,4,21.025681837921898,21.025681837921898,0,1,23,0.7666666666666667,0,0.0,0,20.032102297402385,30,0.7666666666666667
Baseline PPO,0.0,789,5,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,6,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,7,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,8,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,9,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,10,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,11,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,12,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,13,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,14,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,15,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,16,20.02568183792191,20.02568183792191,0,1,1,0.0333333333333333,0,0.0,0,20.032102297402385,30,0.0333333333333333
Baseline PPO,0.0,789,17,21.025681837921898,21.025681837921898,0,1,27,0.9,0,0.0,0,20.032102297402385,30,0.9
Baseline PPO,0.0,789,18,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,789,19,22.02568183792192,22.02568183792192,0,1,12,0.4,0,0.0,0,20.032102297402385,30,0.4
Baseline PPO,0.0,2025,0,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,1,22.02568183792192,22.02568183792192,0,1,7,0.2333333333333333,0,0.0,0,20.032102297402385,30,0.2333333333333333
Baseline PPO,0.0,2025,2,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,2025,3,21.025681837921898,21.025681837921898,0,1,1,0.0333333333333333,0,0.0,0,20.032102297402385,30,0.0333333333333333
Baseline PPO,0.0,2025,4,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
