collision_rate,success_rate,avg_reward,avg_original_reward,avg_speed,avg_survival_time,tailgating_rate,unsafe_lane_change_rate,overspeed_rate,density
0.02,0.98,20.832348504588573,20.832348504588573,20.030077676683767,29.7,0.057999999999999996,0.0,0.0,20
0.08,0.92,20.155015171249012,20.155015171249012,20.00097069409638,28.92,0.17616267942583733,0.0,0.0,50
0.02,0.98,21.065681837921908,21.065681837921908,20.028881223201676,29.84,0.19599999999999998,0.0,0.0,100
