episode,reward,original_reward,steps,crashed,avg_speed,collision_count,tailgating_count,unsafe_lane_change_count,overspeed_count
0,20.525681837921898,21.025681837921898,30,False,20.032102297402385,0,1,0,0
1,20.525681837921898,21.025681837921898,30,False,20.032102297402385,0,1,0,0
2,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
3,20.525681837921898,21.025681837921898,30,False,20.032102297402385,0,1,0,0
4,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
5,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
6,11.025681837921917,22.02568183792192,30,False,20.032102297402385,0,22,0,0
7,19.02568183792192,22.02568183792192,30,False,20.032102297402385,0,6,0,0
8,19.02568183792191,20.02568183792191,30,False,20.032102297402385,0,2,0,0
9,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
10,9.025681837921908,20.02568183792191,30,False,20.032102297402385,0,22,0,0
11,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
12,19.525681837921912,20.02568183792191,30,False,20.032102297402385,0,1,0,0
13,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
14,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
15,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
16,13.525681837921898,21.025681837921898,30,False,20.032102297402385,0,15,0,0
17,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
18,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
19,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
20,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
21,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
22,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
23,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
24,14.025681837921898,20.02568183792191,30,False,20.032102297402385,0,12,0,0
25,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
26,21.02568183792192,22.02568183792192,30,False,20.032102297402385,0,2,0,0
27,20.52568183792192,22.02568183792192,30,False,20.032102297402385,0,3,0,0
28,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
29,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
30,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
31,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
32,19.525681837921912,20.02568183792191,30,False,20.032102297402385,0,1,0,0
33,21.52568183792192,22.02568183792192,30,False,20.032102297402385,0,1,0,0
34,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
35,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
36,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
37,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
38,20.02568183792192,22.02568183792192,30,False,20.032102297402385,0,4,0,0
39,21.02568183792192,22.02568183792192,30,False,20.032102297402385,0,2,0,0
40,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
41,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
42,-3.9743181639981504,6.02568183600185,10,True,18.8711478750756,1,10,0,0
43,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
44,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
45,10.525681837921908,22.02568183792192,30,False,20.032102297402385,0,23,0,0
46,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
47,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
48,18.025681837921898,21.025681837921898,30,False,20.032102297402385,0,6,0,0
49,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
50,6.025681837921908,21.025681837921898,30,False,20.032102297402385,0,30,0,0
51,13.025681837921912,22.02568183792192,30,False,20.032102297402385,0,18,0,0
52,20.525681837921898,21.025681837921898,30,False,20.032102297402385,0,1,0,0
53,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
54,21.52568183792192,22.02568183792192,30,False,20.032102297402385,0,1,0,0
55,20.525681837921898,21.025681837921898,30,False,20.032102297402385,0,1,0,0
56,17.52568183792191,20.02568183792191,30,False,20.032102297402385,0,5,0,0
57,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
58,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
59,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
60,2.8590151712552387,13.359015171255237,21,True,19.503448243908164,1,11,0,0
61,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
62,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
63,20.52568183792192,22.02568183792192,30,False,20.032102297402385,0,3,0,0
64,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
65,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
66,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
67,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
68,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
69,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
70,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
71,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
72,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
73,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
74,16.525681837921915,22.02568183792192,30,False,20.032102297402385,0,11,0,0
75,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
76,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
77,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
78,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
79,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
80,15.525681837921901,21.025681837921898,30,False,20.032102297402385,0,11,0,0
81,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
82,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
83,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
84,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
85,20.52568183792192,22.02568183792192,30,False,20.032102297402385,0,3,0,0
86,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
87,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
88,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
89,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
90,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
91,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
92,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
93,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
94,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
95,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
96,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
97,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
98,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
99,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
