source_run,step,episode_reward_mean,episode_length_mean
PPO_1,2048,7.951743125915527,10.75
PPO_1,4096,10.965872764587402,14.789999961853027
PPO_1,6144,10.782106399536133,14.819999694824219
PPO_1,8192,14.169408798217773,19.530000686645508
PPO_1,10240,16.3022403717041,22.520000457763672
PPO_1,12288,16.938793182373047,23.729999542236328
PPO_1,14336,17.877357482910156,25.170000076293945
PPO_1,16384,18.712587356567383,26.5
PPO_1,18432,19.830459594726562,28.110000610351562
PPO_1,20480,20.354814529418945,28.84000015258789
PPO_1,22528,20.649383544921875,29.1299991607666
PPO_1,24576,19.706430435180664,27.959999084472656
PPO_1,26624,20.353788375854492,28.790000915527344
PPO_1,28672,20.376928329467773,28.799999237060547
PPO_1,30720,20.58063316345215,29.149999618530273
PPO_1,32768,20.24393653869629,28.610000610351562
PPO_1,34816,20.57668113708496,28.84000015258789
PPO_1,36864,20.657161712646484,28.920000076293945
PPO_1,38912,20.65289878845215,29.079999923706055
PPO_1,40960,20.08014678955078,28.350000381469727
PPO_1,43008,20.3621768951416,28.6299991607666
PPO_1,45056,20.247833251953125,28.59000015258789
PPO_1,47104,20.756559371948242,29.360000610351562
PPO_1,49152,21.09731101989746,29.459999084472656
PPO_1,51200,20.691226959228516,29.1200008392334
PPO_1,53248,20.916608810424805,29.510000228881836
PPO_1,55296,20.946882247924805,29.68000030517578
PPO_1,57344,20.620277404785156,29.059999465942383
PPO_1,59392,20.643278121948242,29.139999389648438
PPO_1,61440,20.682575225830078,29.200000762939453
PPO_1,63488,20.73486328125,29.299999237060547
PPO_1,65536,20.99946403503418,29.34000015258789
