model,lambda,episode,steps,lane_changes,collision,tailgating_rate,unsafe_lane_change_rate,progress_reward,collision_penalty,tailgating_penalty,lane_change_penalty,speed_penalty,net_reward
Safe PPO,2.0,25,30,0,0,1.0,0.0,22.02568183792192,0.0,300.0,0.0,0.0,-277.9743181620779
Safe PPO,2.0,26,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,27,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,28,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,29,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,30,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,31,30,0,0,0.26666666666666666,0.0,22.02568183792192,0.0,80.0,0.0,0.0,-57.97431816207809
Safe PPO,2.0,32,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,33,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,34,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,35,30,0,0,0.06666666666666667,0.0,20.02568183792191,0.0,20.0,0.0,0.0,0.025681837921908146
Safe PPO,2.0,36,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,37,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,38,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,39,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,2.0,40,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,2.0,41,30,0,0,0.03333333333333333,0.0,22.02568183792192,0.0,10.0,0.0,0.0,12.02568183792191
Safe PPO,2.0,42,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,2.0,43,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,2.0,44,30,0,0,0.5333333333333333,0.0,20.02568183792191,0.0,160.0,0.0,0.0,-139.97431816207822
Safe PPO,2.0,45,30,0,0,0.06666666666666667,0.0,22.02568183792192,0.0,20.0,0.0,0.0,2.0256818379219035
Safe PPO,2.0,46,30,0,0,0.5333333333333333,0.0,20.02568183792191,0.0,160.0,0.0,0.0,-139.97431816207808
Safe PPO,2.0,47,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,2.0,48,30,0,0,0.1,0.0,22.02568183792192,0.0,30.0,0.0,0.0,-7.974318162078082
Safe PPO,2.0,49,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
