seed,reward,collision,tailgating,lane_changes,survival_time,speed
42,18.675681837921907,0.0,0.0,0.0,30.0,20.000000000000007
123,17.422348504588573,0.0,0.0,0.0,29.7,19.590490000000006
456,18.317348504588573,0.0,0.0,0.0,29.4,19.38742048900001
789,19.20068183792191,0.0,0.0,0.0,30.0,20.000000000000007
2025,20.175681837921907,0.0,0.0,0.0,30.0,20.000000000000007
