seed,reward,collision,tailgating,lane_changes,survival_time,speed
42,20.02568183792191,0,0,0,30,20.000000000000007
42,15.525681837921901,0,0,0,30,20.000000000000007
42,20.02568183792192,0,0,0,30,20.000000000000007
42,22.02568183792192,0,0,0,30,20.000000000000007
42,21.025681837921898,0,0,0,30,20.000000000000007
42,20.02568183792191,0,0,0,30,20.000000000000007
42,20.02568183792191,0,0,0,30,20.000000000000007
42,20.02568183792191,0,0,0,30,20.000000000000007
42,20.52568183792192,0,0,0,30,20.000000000000007
42,21.025681837921898,0,0,0,30,20.000000000000007
42,22.02568183792192,0,0,0,30,20.000000000000007
42,22.02568183792192,0,0,0,30,20.000000000000007
42,5.025681837921909,0,0,0,30,20.000000000000007
42,16.525681837921915,0,0,0,30,20.000000000000007
42,21.025681837921898,0,0,0,30,20.000000000000007
42,20.02568183792191,0,0,0,30,20.000000000000007
42,21.025681837921898,0,0,0,30,20.000000000000007
42,22.02568183792192,0,0,0,30,20.000000000000007
42,5.025681837921909,0,0,0,30,20.000000000000007
42,18.525681837921898,0,0,0,30,20.000000000000007
123,20.02568183792191,0,0,0,30,20.000000000000007
123,22.02568183792192,0,0,0,30,20.000000000000007
123,21.025681837921898,0,0,0,30,20.000000000000007
123,20.02568183792191,0,0,0,30,20.000000000000007
123,21.025681837921898,0,0,0,30,20.000000000000007
123,22.02568183792192,0,0,0,30,20.000000000000007
123,20.025681837921898,0,0,0,30,20.000000000000007
123,5.4590151712552455,0,0,0,24,11.809800000000005
123,7.525681837921908,0,0,0,30,20.000000000000007
123,22.02568183792192,0,0,0,30,20.000000000000007
123,21.025681837921898,0,0,0,30,20.000000000000007
123,7.525681837921906,0,0,0,30,20.000000000000007
123,20.525681837921898,0,0,0,30,20.000000000000007
123,22.02568183792192,0,0,0,30,20.000000000000007
123,21.025681837921898,0,0,0,30,20.000000000000007
123,20.525681837921898,0,0,0,30,20.000000000000007
123,7.525681837921908,0,0,0,30,20.000000000000007
123,21.025681837921898,0,0,0,30,20.000000000000007
123,21.025681837921898,0,0,0,30,20.000000000000007
123,5.025681837921909,0,0,0,30,20.000000000000007
456,21.025681837921898,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,21.025681837921898,0,0,0,30,20.000000000000007
456,17.525681837921905,0,0,0,30,20.000000000000007
456,7.025681837921906,0,0,0,30,20.000000000000007
456,21.025681837921898,0,0,0,30,20.000000000000007
456,21.52568183792192,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,21.025681837921898,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,13.025681837921919,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,20.02568183792191,0,0,0,30,20.000000000000007
456,1.8590151712552387,0,0,0,18,7.748409780000054
456,20.02568183792191,0,0,0,30,20.000000000000007
456,21.025681837921898,0,0,0,30,20.000000000000007
789,21.025681837921898,0,0,0,30,20.000000000000007
789,20.02568183792191,0,0,0,30,20.000000000000007
789,20.02568183792191,0,0,0,30,20.000000000000007
789,16.02568183792192,0,0,0,30,20.000000000000007
789,9.525681837921908,0,0,0,30,20.000000000000007
789,22.02568183792192,0,0,0,30,20.000000000000007
789,22.02568183792192,0,0,0,30,20.000000000000007
789,20.02568183792191,0,0,0,30,20.000000000000007
789,22.02568183792192,0,0,0,30,20.000000000000007
789,21.025681837921898,0,0,0,30,20.000000000000007
789,21.025681837921898,0,0,0,30,20.000000000000007
789,20.02568183792191,0,0,0,30,20.000000000000007
789,21.025681837921898,0,0,0,30,20.000000000000007
789,21.025681837921898,0,0,0,30,20.000000000000007
789,22.02568183792192,0,0,0,30,20.000000000000007
789,21.025681837921898,0,0,0,30,20.000000000000007
789,19.525681837921912,0,0,0,30,20.000000000000007
789,7.525681837921908,0,0,0,30,20.000000000000007
789,21.025681837921898,0,0,0,30,20.000000000000007
789,16.02568183792192,0,0,0,30,20.000000000000007
2025,21.025681837921898,0,0,0,30,20.000000000000007
2025,18.525681837921915,0,0,0,30,20.000000000000007
2025,21.025681837921898,0,0,0,30,20.000000000000007
2025,20.525681837921898,0,0,0,30,20.000000000000007
2025,20.02568183792191,0,0,0,30,20.000000000000007
2025,20.02568183792191,0,0,0,30,20.000000000000007
2025,20.525681837921898,0,0,0,30,20.000000000000007
2025,20.525681837921898,0,0,0,30,20.000000000000007
2025,22.02568183792192,0,0,0,30,20.000000000000007
2025,21.025681837921898,0,0,0,30,20.000000000000007
2025,16.0256818379219,0,0,0,30,20.000000000000007
2025,20.02568183792191,0,0,0,30,20.000000000000007
2025,12.525681837921912,0,0,0,30,20.000000000000007
2025,22.02568183792192,0,0,0,30,20.000000000000007
2025,22.02568183792192,0,0,0,30,20.000000000000007
2025,21.025681837921898,0,0,0,30,20.000000000000007
2025,20.525681837921898,0,0,0,30,20.000000000000007
2025,22.02568183792192,0,0,0,30,20.000000000000007
2025,21.025681837921898,0,0,0,30,20.000000000000007
2025,21.025681837921898,0,0,0,30,20.000000000000007
